epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,27658.1,0.36301,0.36935,0.83905,0.72689,0.85714,0.80159,0.78958,0.30151,0.93,0.749,0.0006734,0.0006734,0.0006734
69,27795.8,0.3281,0.30329,0.81328,0.72689,0.85714,0.80159,0.78958,0.30151,0.93,0.749,0.0006536,0.0006536,0.0006536
70,27939.9,0.31271,0.35768,0.8396,0.7749,1,0.86111,0.84965,0.29838,0.76801,0.74476,0.0006338,0.0006338,0.0006338
71,28069.6,0.32593,0.34019,0.83263,0.77391,1,0.83778,0.82656,0.29045,0.70237,0.74319,0.000614,0.000614,0.000614
72,28198.2,0.34229,0.38036,0.82256,0.77494,1,0.83778,0.8268,0.28936,0.71975,0.74088,0.0005942,0.0005942,0.0005942
73,28329.6,0.30637,0.35524,0.83785,0.77494,1,0.83778,0.8268,0.28936,0.71975,0.74088,0.0005744,0.0005744,0.0005744
74,28448.5,0.31959,0.35368,0.80467,0.77758,0.99901,0.87167,0.8307,0.28593,0.75973,0.73977,0.0005546,0.0005546,0.0005546
75,28579.2,0.2704,0.28213,0.81771,0.777,0.996,0.77389,0.73916,0.27909,0.77487,0.73969,0.0005348,0.0005348,0.0005348
76,28715.6,0.30951,0.33569,0.8277,0.77763,0.99924,0.77389,0.73883,0.26981,0.77291,0.74033,0.000515,0.000515,0.000515
77,28842.8,0.31893,0.33021,0.84322,0.77763,0.99924,0.77389,0.73883,0.26981,0.77291,0.74033,0.0004952,0.0004952,0.0004952
78,28969.3,0.29179,0.29228,0.82593,0.77734,0.99773,0.77389,0.75976,0.2696,0.77003,0.74205,0.0004754,0.0004754,0.0004754
79,29095.7,0.30714,0.29256,0.78826,0.77548,0.98817,0.77389,0.75968,0.26882,0.79629,0.74046,0.0004556,0.0004556,0.0004556
80,29210.2,0.29516,0.31411,0.81762,0.69996,0.99984,0.73925,0.72757,0.26129,0.84316,0.73867,0.0004358,0.0004358,0.0004358
81,29326.9,0.2793,0.30591,0.8002,0.69996,0.99984,0.73925,0.72757,0.26129,0.84316,0.73867,0.000416,0.000416,0.000416
82,29457,0.30826,0.32402,0.8312,0.69997,0.99988,0.73925,0.72754,0.26963,0.87154,0.7382,0.0003962,0.0003962,0.0003962
83,29594.2,0.26505,0.28082,0.79674,0.69832,1,0.79314,0.7832,0.28657,0.86508,0.74009,0.0003764,0.0003764,0.0003764
84,29728.1,0.27969,0.31271,0.82339,0.69717,1,0.79314,0.78313,0.30742,0.86908,0.74133,0.0003566,0.0003566,0.0003566
85,29855.6,0.27456,0.28234,0.79743,0.69717,1,0.79314,0.78313,0.30742,0.86908,0.74133,0.0003368,0.0003368,0.0003368
86,29992.4,0.28226,0.3109,0.83987,0.69679,1,0.78814,0.77813,0.32229,0.87009,0.74171,0.000317,0.000317,0.000317
87,30139.9,0.29843,0.29823,0.83587,0.69668,1,0.78814,0.75073,0.33125,0.87319,0.74109,0.0002972,0.0002972,0.0002972
88,30275.9,0.27065,0.27081,0.8121,0.69684,1,0.82814,0.78938,0.31823,0.86879,0.73846,0.0002774,0.0002774,0.0002774
89,30405.8,0.25812,0.24317,0.80654,0.69684,1,0.82814,0.78938,0.31823,0.86879,0.73846,0.0002576,0.0002576,0.0002576
90,30541.8,0.27112,0.27887,0.81762,0.69684,1,0.8455,0.78799,0.29927,0.8552,0.7363,0.0002378,0.0002378,0.0002378
91,30690.8,0.24603,0.25878,0.77121,0.69683,1,0.8455,0.78807,0.27986,0.84939,0.73543,0.000218,0.000218,0.000218
92,30819.8,0.24718,0.2666,0.81411,0.69677,1,0.82814,0.7825,0.26601,0.82476,0.73558,0.0001982,0.0001982,0.0001982
93,30958.4,0.24028,0.22155,0.79172,0.69677,1,0.82814,0.7825,0.26601,0.82476,0.73558,0.0001784,0.0001784,0.0001784
94,31099.1,0.22335,0.23798,0.79898,0.69677,1,0.78814,0.76145,0.2595,0.80541,0.7364,0.0001586,0.0001586,0.0001586
95,31236.3,0.23298,0.25655,0.76274,0.69676,1,0.8105,0.78328,0.2623,0.78468,0.7371,0.0001388,0.0001388,0.0001388
96,31372.2,0.23028,0.23039,0.77629,0.69677,1,0.7755,0.75176,0.26573,0.77176,0.73701,0.000119,0.000119,0.000119
97,31503.6,0.22855,0.23061,0.81377,0.69677,1,0.7755,0.75176,0.26573,0.77176,0.73701,9.92e-05,9.92e-05,9.92e-05
98,31631.7,0.21315,0.21409,0.80386,0.69663,1,0.7755,0.75176,0.26858,0.76975,0.73682,7.94e-05,7.94e-05,7.94e-05
99,31755,0.23086,0.22227,0.7652,0.69656,1,0.7755,0.75175,0.27009,0.76964,0.73712,5.96e-05,5.96e-05,5.96e-05
100,31887.3,0.22235,0.23103,0.78534,0.6965,1,0.7755,0.75174,0.27063,0.76952,0.73692,3.98e-05,3.98e-05,3.98e-05
